School 5 Year Cohort Rates,,Cohort Graduation Rates,,,,,,
SchoolID,School Name,2011,2012,2013,2014,2015,2016,2017
400106,NOBLE - JOHNSON HS, , , , ,75.1%,77.4%,77.7%
400098,NOBLE - MUCHIN HS, , , ,80.9%,88.0%,86.4%,94.8%
400051,NOBLE - NOBLE HS,86.1%,82.9%,84.4%,84.2%,86.5%,92.8%,94.1%
400054,NOBLE - PRITZKER HS,85.2%,84.5%,88.9%,91.6%,88.1%,90.3%,91.3%
400055,NOBLE - RAUNER HS,79.7%,85.4%,82.0%,84.3%,86.6%,85.6%,83.8%
400056,NOBLE - ROWE CLARK HS, ,70.8%,73.9%,73.5%,76.7%,82.4%,78.6%
400057,NOBLE - UIC HS, , ,83.3%,82.2%,86.8%,83.3%,92.4%
400058,NORTH LAWNDALE - CHRISTIANA HS,74.0%,76.8%,74.1%,73.6%,79.7%,67.1%,75.9%
400059,NORTH LAWNDALE - COLLINS HS, ,77.2%,67.2%,72.6%,73.7%,69.7%,75.7%
609691,NORTH-GRAND HS,69.3%,65.6%,73.8%,75.1%,76.5%,74.3%,79.3%
609744,NORTHSIDE LEARNING HS,0.0%,3.8%,0.0%,0.0%,4.5%,3.1%,0.0%
609749,NORTHSIDE PREP HS,97.6%,98.3%,96.5%,98.5%,97.0%,97.8%,96.6%
610529,OGDEN HS, , , ,68.6%,76.9%,83.6%,93.9%
610389,ORR HS, , ,41.6%,41.0%,49.3%,39.0%,46.4%
609680,PAYTON HS,96.9%,90.9%,90.9%,94.8%,85.1%,95.3%,98.5%
400064,PERSPECTIVES - JOSLIN HS,87.0%,84.3%,78.8%,88.9%,78.6%,85.7%,94.5%
400061,PERSPECTIVES - LEADERSHIP HS,70.3%,67.8%,64.4%,64.5%,66.2%,75.2%,80.3%
400066,PERSPECTIVES - MATH & SCI HS, , ,77.3%,66.1%,68.2%,78.1%,75.7%
400062,PERSPECTIVES - TECH HS, ,68.9%,68.1%,64.7%,69.1%,73.1%,80.6%
609727,PHILLIPS HS,40.0%,40.2%,44.7%,47.2%,45.9%,57.9%,63.0%
