,,Grd 9-12 Enrollment,Students Enrolled in AP Courses,,Students Scoring 3+ on AP Exams,
,,,,,,
SchoolID,Year,n,n,pct,n,pct
609750,2007,208,0,0.0,*,*
609750,2008,222,0,0.0,*,*
609750,2009,184,0,0.0,*,*
609750,2010,101,0,0.0,*,*
609750,2011,143,0,0.0,*,*
609750,2012,138,1,0.7,*,*
609750,2013,91,0,0.0,*,*
609751,2000,346,0,0.0,*,*
609751,2001,186,0,0.0,*,*
609751,2002,95,0,0.0,*,*
609751,2003,203,0,0.0,*,*
609751,2004,455,0,0.0,*,*
609751,2005,710,45,6.3,2,4.4
609751,2006,902,90,10.0,7,7.8
609751,2007,926,186,20.1,21,11.3
609751,2008,903,214,23.7,25,11.7
609751,2009,895,185,20.7,20,10.8
609751,2010,926,197,21.3,21,10.7
609751,2011,936,198,21.2,49,24.7
609751,2012,919,191,20.8,45,23.6
609751,2013,879,240,27.3,50,20.8
609753,2000,564,38,6.7,0,0.0
609753,2001,594,35,5.9,3,8.6
609753,2002,594,46,7.7,2,4.3
609753,2003,598,25,4.2,0,0.0
609753,2004,603,42,7.0,3,7.1
609753,2005,599,46,7.7,6,13.0
609753,2006,596,64,10.7,9,14.1
609753,2007,587,62,10.6,7,11.3
609753,2008,584,52,8.9,8,15.4
609753,2009,579,43,7.4,5,11.6
609753,2010,592,72,12.2,10,13.9
609753,2011,593,98,16.5,18,18.4
609753,2012,578,99,17.1,26,26.3
609753,2013,629,114,18.1,14,12.3
609754,2000,149,0,0.0,*,*
609754,2001,280,0,0.0,*,*
609754,2002,374,0,0.0,*,*
609754,2003,514,37,7.2,3,8.1
609754,2004,520,52,10.0,5,9.6
609754,2005,508,2,0.4,*,*
609754,2006,487,5,1.0,*,*
609754,2007,518,49,9.5,6,12.2
609754,2008,507,85,16.8,2,2.4
609754,2009,506,97,19.2,3,3.1
609754,2010,501,82,16.4,17,20.7
609754,2011,502,65,12.9,2,3.1
609754,2012,482,96,19.9,8,8.3
609754,2013,466,59,12.7,8,13.6
609755,2000,2020,383,19.0,297,77.5
609755,2001,1954,403,20.6,314,77.9
609755,2002,1907,435,22.8,365,83.9
609755,2003,1798,425,23.6,339,79.8
609755,2004,1907,456,23.9,373,81.8
609755,2005,1882,429,22.8,355,82.8
609755,2006,1902,519,27.3,421,81.1
609755,2007,1980,588,29.7,461,78.4
609755,2008,1958,540,27.6,420,77.8
609755,2009,2019,607,30.1,494,81.4
609755,2010,2015,776,38.5,599,77.2
609755,2011,1938,872,45.0,670,76.8
609755,2012,1938,903,46.6,702,77.7
609755,2013,1977,847,42.8,692,81.7
609756,2000,3014,159,5.3,71,44.7
609756,2001,2946,125,4.2,58,46.4
609756,2002,3073,110,3.6,34,30.9
609756,2003,3125,134,4.3,47,35.1
609756,2004,3004,156,5.2,49,31.4
609756,2005,3039,154,5.1,24,15.6
609756,2006,3047,137,4.5,40,29.2
609756,2007,3023,234,7.7,99,42.3
609756,2008,3251,236,7.3,71,30.1
609756,2009,3449,250,7.2,59,23.6
609756,2010,3577,335,9.4,72,21.5
609756,2011,3457,395,11.4,91,23.0
609756,2012,3323,375,11.3,116,30.9
609756,2013,3060,387,12.6,107,27.6
609759,2000,1799,110,6.1,47,42.7
609759,2001,1840,106,5.8,18,17.0
609759,2002,2033,106,5.2,23,21.7
609759,2003,2187,108,4.9,12,11.1
609759,2004,2301,81,3.5,15,18.5
609759,2005,2368,65,2.7,21,32.3
609759,2006,2410,72,3.0,16,22.2
609759,2007,2207,123,5.6,31,25.2
609759,2008,2178,146,6.7,8,5.5
609759,2009,1761,131,7.4,16,12.2
609759,2010,1583,101,6.4,14,13.9
609759,2011,1282,117,9.1,16,13.7
609759,2012,1007,92,9.1,11,12.0
