,,Grd 9-12 Enrollment,Students Enrolled in AP Courses,,Students Scoring 3+ on AP Exams,
,,,,,,
SchoolID,Year,n,n,pct,n,pct
610513,2012,302,0,0.0,*,*
610513,2013,393,46,11.7,9,19.6
610518,2009,149,0,0.0,*,*
610518,2010,273,29,10.6,0,0.0
610518,2011,361,81,22.4,0,0.0
610518,2012,411,94,22.9,0,0.0
610518,2013,367,65,17.7,2,3.1
610524,2010,83,0,0.0,*,*
610524,2011,177,0,0.0,*,*
610524,2012,232,32,13.8,3,9.4
610524,2013,269,41,15.2,9,22.0
610529,2010,124,0,0.0,*,*
610529,2011,226,0,0.0,*,*
610529,2012,354,42,11.9,2,4.8
610529,2013,449,69,15.4,15,21.7
610535,2010,22,0,0.0,*,*
610535,2011,40,0,0.0,*,*
610535,2012,48,0,0.0,*,*
610535,2013,60,0,0.0,*,*
610543,2011,295,0,0.0,*,*
610543,2012,582,25,4.3,24,96.0
610543,2013,843,92,10.9,66,71.7
610547,2012,323,84,26.0,0,0.0
610547,2013,450,54,12.0,0,0.0
610550,2012,28,0,0.0,*,*
610550,2013,24,0,0.0,*,*
610552,2012,35,5,14.3,*,*
610552,2013,41,1,2.4,*,*
610554,2012,65,1,1.5,*,*
610554,2013,19,1,5.3,*,*
610555,2012,162,3,1.9,*,*
610555,2013,164,0,0.0,*,*
610556,2012,284,2,0.7,*,*
610556,2013,268,2,0.7,*,*
610557,2012,213,2,0.9,*,*
610557,2013,202,2,1.0,*,*
610558,2013,244,0,0.0,*,*
,,,,,,
